Outline Level,ID,Name,Start,Finish,Duration,% Complete,Predecessors,Resource Names,Color,Notes
1,1,"Menial AI",2026-01-13,2026-02-22,41 day,26,"","",,"<p><br></p>"
2,2,"Gather datasets",2026-01-13,2026-01-18,6 day,68,"","Team Member 1",121,"<p><br></p>"
2,8,"Record 100 custom sound samples",2026-01-18,2026-01-18,0 day,0,"2FS","",,"<p><br></p>"
2,3,"Pre-process data",2026-01-19,2026-01-27,9 day,50,"2FS","Team Member 1",211,"<p><br></p>"
2,9,"Test isolation of distinct signal successfully",2026-01-27,2026-01-27,0 day,0,"3FS","",,"<p><br></p>"
2,17,"Set up and use existing model",2026-01-28,2026-02-04,8 day,0,"3FS","",,"<p><br></p>"
2,7,"Test pre-process data in existing model successfully",2026-02-04,2026-02-04,0 day,0,"17FS","",,"<p><br></p>"
2,18,"Create slide deck of progress",2026-02-05,2026-02-08,4 day,0,"17FS","",,"<p><br></p>"
2,14,"Class Milestone 1: Submit a summary slide deck on Canvas",2026-02-08,2026-02-08,0 day,0,"18FS","",,"<p><br></p>"
2,4,"Train custom data model using TensorFlow Lite",2026-02-09,2026-02-19,11 day,20,"18FS","Team Member 3",301,"<p><br></p>"
2,6,"Achieve 70% accuracy on custom dataset sound recognition",2026-02-19,2026-02-19,0 day,0,"4FS","",,"<p><br></p>"
2,19,"Create/Update slide deck of progress",2026-02-20,2026-02-22,3 day,0,"4FS","",,"<p><br></p>"
2,15,"Class Milestone 2: Submit a summary slide deck on Canvas",2026-02-22,2026-02-22,0 day,0,"19FS","",,"<p><br></p>"
1,10,"Fine-tune custom data model",2026-02-23,2026-03-04,10 day,0,"19FS","",,"<p><br></p>"
1,11,"Achieve 85% accuracy on custom dataset sound recognition",2026-03-04,2026-03-04,0 day,0,"10FS","",,"<p><br></p>"
1,12,"Write project report",2026-03-05,2026-03-08,4 day,0,"10FS","",,"<p><br></p>"
1,16,"Submit Final Project Poster",2026-03-08,2026-03-08,0 day,0,"12FS","",,"<p><br></p>"
1,13,"Submit Final Project Report",2026-03-08,2026-03-08,0 day,0,"12FS","",,"<p><br></p>"